Year,Week,Crop Type,Avg Market Price (RM/KG),Month
2015,19,LABU MANIS,1.43,May
2015,19,LADA BENGGALA / CAPSICUM HIJAU,4.08,May
2015,19,LIMAU KASTURI,4.24,May
2015,19,LIMAU NIPIS,4.79,May
2015,19,PERIA,1.96,May
2015,19,SALAD BULAT TANAH TINGGI,3.3,May
2015,19,SAWI HIJAU (TANAH RENDAH),1.94,May
2015,19,TERUNG BULAT,2.39,May
2015,19,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.3,May
2015,19,TIMUN HIJAU,1.27,May
2015,19,TOMATO (TANAH TINGGI),1.38,May
2015,20,BAYAM,1.41,May
2015,20,CILI HIJAU,4.7,May
2015,20,CILI MERAH KULAI / KULAI HIBRID,5.75,May
2015,20,CILI MERAH MINYAK,6.57,May
2015,20,CILI PADI,18.5,May
2015,20,DAUN SUP (TANAH TINGGI),4.8,May
2015,20,HALIA MUDA,6.67,May
2015,20,KACANG BENDI,3.2,May
2015,20,KACANG BUNCIS,3.66,May
2015,20,KACANG PANJANG HIJAU,2.21,May
2015,20,KAILAN,2.78,May
2015,20,KANGKUNG,1.2,May
2015,20,KUBIS BULAT (TANAH TINGGI),1.18,May
2015,20,LABU MANIS,1.37,May
2015,20,LADA BENGGALA / CAPSICUM HIJAU,4.59,May
2015,20,LIMAU KASTURI,4.42,May
2015,20,LIMAU NIPIS,4.75,May
2015,20,PERIA,1.9,May
2015,20,SALAD BULAT TANAH TINGGI,3.4,May
2015,20,SAWI HIJAU (TANAH RENDAH),1.92,May
2015,20,TERUNG BULAT,2.32,May
2015,20,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.22,May
2015,20,TIMUN HIJAU,1.27,May
2015,20,TOMATO (TANAH TINGGI),1.8,May
2015,21,BAYAM,1.32,May
2015,21,CILI HIJAU,4.82,May
2015,21,CILI MERAH KULAI / KULAI HIBRID,5.85,May
2015,21,CILI MERAH MINYAK,6.01,May
2015,21,CILI PADI,17.35,May
2015,21,DAUN SUP (TANAH TINGGI),5.52,May
2015,21,HALIA MUDA,6.4,May
2015,21,KACANG BENDI,3.0,May
2015,21,KACANG BUNCIS,3.82,May
2015,21,KACANG PANJANG HIJAU,2.03,May
2015,21,KAILAN,2.53,May
2015,21,KANGKUNG,1.16,May
2015,21,KUBIS BULAT (TANAH TINGGI),1.25,May
2015,21,LABU MANIS,1.36,May
2015,21,LADA BENGGALA / CAPSICUM HIJAU,4.94,May
2015,21,LIMAU KASTURI,4.46,May
2015,21,LIMAU NIPIS,4.64,May
2015,21,PERIA,1.77,May
2015,21,SALAD BULAT TANAH TINGGI,3.53,May
2015,21,SAWI HIJAU (TANAH RENDAH),1.95,May
2015,21,TERUNG BULAT,2.47,May
2015,21,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.15,May
2015,21,TIMUN HIJAU,1.17,May
2015,21,TOMATO (TANAH TINGGI),1.23,May
2015,22,BAYAM,1.39,Jun
2015,22,CILI HIJAU,5.01,Jun
2015,22,CILI MERAH KULAI / KULAI HIBRID,5.51,Jun
2015,22,CILI MERAH MINYAK,5.28,Jun
2015,22,CILI PADI,18.15,Jun
2015,22,DAUN SUP (TANAH TINGGI),6.44,Jun
2015,22,HALIA MUDA,6.54,Jun
2015,22,KACANG BENDI,2.84,Jun
2015,22,KACANG BUNCIS,3.72,Jun
2015,22,KACANG PANJANG HIJAU,1.95,Jun
2015,22,KAILAN,2.7,Jun
2015,22,KANGKUNG,1.24,Jun
2015,22,KUBIS BULAT (TANAH TINGGI),1.23,Jun
2015,22,LABU MANIS,1.36,Jun
2015,22,LADA BENGGALA / CAPSICUM HIJAU,6.3,Jun
2015,22,LIMAU KASTURI,4.46,Jun
2015,22,LIMAU NIPIS,4.5,Jun
2015,22,PERIA,1.61,Jun
2015,22,SALAD BULAT TANAH TINGGI,3.5,Jun
2015,22,SAWI HIJAU (TANAH RENDAH),1.94,Jun
2015,22,TERUNG BULAT,2.61,Jun
2015,22,TERUNG PANJANG / PEPARU (TANAH RENDAH),2.05,Jun
2015,22,TIMUN HIJAU,1.14,Jun
2015,22,TOMATO (TANAH TINGGI),0.93,Jun
